index,Democrat,Republican,Ambigious,ideology_score,ideology_score_flw,party,news_count,politicians_flw_count,worldview_alignment
950776666481090560,5,6,1,0.16666666666666602,0.090727551037523,Democrat,3.0,1,0.45454545454545453
87243754,0,5,5,0.859375,0.7009030398896551,Republican,16.0,19,1.0
169260681,9,2,2,0.1875,0.22068715448325102,Democrat,4.0,18,0.8181818181818182
4614286114,3,3,5,0.59,0.9073159140461701,Republican,25.0,1,0.5
17418183,3,7,3,0.805555555555555,0.71290570497033,Republican,27.0,56,0.7
3874481931,0,6,4,0.75,0.6815579792082901,Republican,10.0,8,1.0
764212106,3,2,7,0.33333333333333304,0.223274348213329,Democrat,12.0,9,0.6
2246427643,1,4,5,0.7906249999999999,0.6232085735196491,Republican,80.0,3,0.8
843701312,0,6,5,0.89,0.6784560934152041,Republican,25.0,21,1.0
571965561,4,4,3,0.5,0.19285969145348,Republican,1.0,8,0.5
63998177,4,3,5,0.625,0.11588872069500201,Republican,4.0,4,0.42857142857142855
817155288084217856,0,7,4,0.8404255319148931,0.5667899642242941,Republican,47.0,2,1.0
1036679516108861440,1,3,6,0.25,0.084044858065486,Democrat,8.0,2,0.25
18020819,4,5,2,0.8250000000000001,0.7175018805909811,Republican,10.0,8,0.5555555555555556
156752362,4,5,1,0.277777777777777,0.221545073828807,Democrat,9.0,46,0.4444444444444444
25299827,2,2,7,0.15384615384615302,0.237495591242932,Democrat,26.0,17,0.5
74384094,6,3,4,0.25,,Democrat,1.0,,0.6666666666666666
486649212,0,7,4,0.766666666666666,0.658917508115559,Republican,15.0,5,1.0
88801554,2,6,2,0.875,0.738539089142758,Republican,4.0,36,0.75
108762374,3,5,2,0.128787878787878,0.199903671373122,Democrat,33.0,25,0.375
758486885069185024,6,2,4,0.30000000000000004,0.130615299933386,Democrat,5.0,6,0.75
270191230,7,3,2,0.138888888888888,0.190788694525929,Democrat,9.0,13,0.7
563164628,2,4,4,0.25,0.18805271622520803,Democrat,6.0,22,0.3333333333333333
1532818680,3,8,2,0.21428571428571402,0.17700512455939302,Democrat,7.0,16,0.2727272727272727
492165689,0,4,6,0.708333333333333,0.62585442370841,Republican,6.0,11,1.0
3246720932,0,2,8,0.7187500000000001,0.6754335520828191,Republican,32.0,15,1.0
632328283,5,5,0,0.25,0.219337556525235,Democrat,7.0,45,0.5
221144816,3,3,7,0.26315789473684204,0.381258395713566,Democrat,38.0,114,0.5
565017495,4,4,4,0.06818181818181801,,Democrat,22.0,,0.5
327908487,0,7,3,0.8250000000000001,0.6342591890121391,Republican,10.0,7,1.0
25378053,7,4,2,0.1875,0.174183573506238,Democrat,4.0,18,0.6363636363636364
890080579,1,8,1,0.6911764705882351,0.7570284832975841,Republican,17.0,12,0.8888888888888888
1077512539,7,0,10,0.25,0.12480739526764902,Democrat,36.0,15,1.0
1028674856227950592,0,6,4,0.875,,Republican,6.0,,1.0
785296606505480192,2,7,2,0.6666666666666661,0.65077686407525,Republican,18.0,15,0.7777777777777778
176995666,9,0,5,,0.141999730322934,,,3,0.0
242852908,4,1,7,0.30000000000000004,0.133923618282248,Democrat,10.0,4,0.8
323864904,2,6,2,0.2,0.176656725841248,Democrat,10.0,48,0.25
806339110722031621,1,9,3,,,,,,0.9
406695706,4,5,2,0.133333333333333,0.22380741589553801,Democrat,15.0,34,0.4444444444444444
2720820136,4,3,6,0.25,0.16497234411606101,Democrat,1.0,3,0.5714285714285714
68289586,4,4,4,0.25,0.18045743394906102,Democrat,4.0,36,0.5
1149838057,5,2,4,0.25,0.22370664071978102,Democrat,1.0,20,0.7142857142857143
185319111,4,3,4,,0.14333414227517002,,,9,0.42857142857142855
803252808,2,0,10,0.21875000000000003,0.187175318804316,Democrat,8.0,35,1.0
53097556,2,8,1,0.33,0.011976773589817,Democrat,25.0,1,0.2
552949589,1,5,4,0.25,0.42740746586183903,Democrat,5.0,20,0.16666666666666666
64834946,2,6,2,0.22222222222222202,0.20971316543053803,Democrat,9.0,11,0.25
38510545,1,5,4,0.8782051282051281,0.694616711087317,Republican,78.0,62,0.8333333333333334
36495737,1,5,5,0.958333333333333,0.57298060094969,Republican,6.0,12,0.8333333333333334
2372734255,3,2,7,0.21250000000000002,0.244280346747749,Democrat,20.0,118,0.6
36700535,0,6,4,0.75,0.732836760413049,Republican,5.0,35,1.0
618526601,1,7,3,0.5750000000000001,0.7429453074079391,Republican,10.0,5,0.875
16290143,4,1,6,0.375,0.159681184197729,Democrat,2.0,9,0.8
60354031,2,7,2,0.291666666666666,0.279587208785157,Democrat,12.0,18,0.2222222222222222
23588224,2,9,2,0.8125,0.6765409310938071,Republican,36.0,3,0.8181818181818182
22550359,4,4,6,0.28125,0.21445867242132102,Democrat,16.0,18,0.5
37234059,6,4,2,0.225,0.23213883996262502,Democrat,10.0,6,0.6
836573137902977025,0,7,3,,,,,,1.0
115378063,2,6,2,0.25,0.254032541090689,Democrat,7.0,34,0.25
131723339,8,1,4,0.125,0.21989671659898602,Democrat,2.0,23,0.8888888888888888
2358681440,2,0,8,0.27083333333333304,0.218543421010425,Democrat,12.0,87,1.0
41226280,3,5,4,0.25,0.191497916603089,Democrat,8.0,26,0.375
27494683,8,4,1,,0.190025644593277,,,21,0.3333333333333333
717773679615053826,1,7,3,,,,,,0.875
2878213858,0,9,2,0.782051282051282,0.750153778084195,Republican,39.0,5,1.0
2481011588,8,4,2,0.16666666666666602,0.2177264030065,Democrat,9.0,15,0.6666666666666666
402143926,5,4,5,0.22916666666666602,0.24421087565814903,Democrat,12.0,60,0.5555555555555556
345727837,7,1,5,0.194444444444444,0.235189626193737,Democrat,9.0,24,0.875
48491024,1,7,4,0.75,0.7675564350950921,Republican,5.0,25,0.875
59385072,7,0,7,0.0,0.080151695435345,Democrat,1.0,9,1.0
71160752,14,2,0,0.543103448275862,0.574216854182207,Republican,87.0,7,0.125
1581370232,4,5,2,0.279411764705882,0.226156590033554,Democrat,17.0,17,0.4444444444444444
799732200,1,4,5,0.6666666666666661,0.718116523848587,Republican,3.0,39,0.8
711754742829944834,1,5,4,,,,,,0.8333333333333334
218682074,3,4,5,0.21875000000000003,0.22209585588413702,Democrat,16.0,11,0.42857142857142855
74179515,2,9,0,0.596153846153846,0.75076957140794,Republican,13.0,33,0.8181818181818182
351513184,0,8,3,0.8472222222222221,0.6336846678389451,Republican,18.0,8,1.0
2649146030,4,1,5,0.28571428571428503,0.18755138308708302,Democrat,21.0,15,0.8
