index,Democrat,Republican,Ambigious,i_score,party
19044831,5,1,4,,
862302824,1,8,4,0.813636363636363,Republican
92030413,4,1,5,,
770229417968857088,6,2,4,0.2,Democrat
617378499,6,2,4,0.16666666666666602,Democrat
58425534,2,6,2,0.5,Republican
707038250385281024,6,2,3,0.28571428571428503,Democrat
1423668308,6,1,3,0.18579499825015203,Democrat
3046713973,5,5,0,,
34248212,6,5,1,,
729385700869611520,6,3,1,0.208333333333333,Democrat
85056149,0,6,4,0.6184210526315791,Republican
2465155724,7,3,1,,
2914080250,2,4,4,0.15,Democrat
300459029,5,4,2,,
39682563,3,2,5,0.16666666666666602,Democrat
188180746,8,1,1,0.27272727272727204,Democrat
20878310,8,3,0,0.1875,Democrat
1017032688060911616,6,2,4,,
125597540,3,1,6,,
557451407,6,3,1,0.25,Democrat
923021926271942657,0,7,4,,
223643794,4,1,6,0.23076923076923,Democrat
45756906,4,2,4,,
513265708,2,4,4,0.194018686281189,Democrat
97999355,8,3,3,0.0,Democrat
817863028175675392,6,2,5,0.45,Democrat
825114606171516937,3,1,8,,
59183986,8,2,2,0.375,Democrat
24362769,5,2,3,0.25,Democrat
979288783,4,0,6,0.18181818181818102,Democrat
4460317547,5,1,5,0.28125,Democrat
114670386,6,3,2,,
368480421,5,1,6,0.375,Democrat
189261413,1,0,12,0.5,Republican
266771835,7,2,1,0.375,Democrat
936693199569002496,4,4,2,0.25,Democrat
907258501,3,2,5,0.932692307692307,Republican
47282419,5,1,4,0.416666666666666,Democrat
4218009012,4,3,6,,
43604188,5,5,1,0.15625,Democrat
32273235,7,1,3,0.22222222222222202,Democrat
41941359,7,3,1,0.22727272727272702,Democrat
164657015,1,2,8,0.347826086956521,Democrat
329268865,5,5,2,0.0,Democrat
4783648233,6,1,3,0.375,Democrat
108764893,5,3,2,0.318181818181818,Democrat
4020405970,4,2,4,0.2,Democrat
42800376,6,3,3,0.5,Republican
230353328,7,1,4,0.33333333333333304,Democrat
3151950054,4,3,3,,
508307472,8,3,0,0.116666666666666,Democrat
38822249,9,1,2,,
541919349,5,2,4,0.08333333333333301,Democrat
21818413,3,3,4,0.25,Democrat
2376261181,2,6,2,0.384615384615384,Democrat
508034406,4,0,6,0.35714285714285704,Democrat
22019929,5,3,3,,
7597712,3,2,5,0.45186144711737003,Democrat
362738870,3,1,7,0.416666666666666,Democrat
16986563,6,2,2,0.25,Democrat
808811923852693505,4,0,7,,
23565650,6,4,2,0.171875,Democrat
1463877786,4,3,4,0.42816091954022906,Democrat
2400842840,6,1,5,0.208333333333333,Democrat
108198580,5,0,5,0.25,Democrat
774844570139922435,0,6,4,,
1054012590899159040,0,7,3,,
388633428,4,2,4,0.25,Democrat
845424059152322560,5,0,5,0.35000000000000003,Democrat
2924327303,3,4,3,0.3125,Democrat
259864160,2,0,9,,
3380797665,6,3,2,0.25,Democrat
390551754,4,5,5,,
898285410874535937,5,3,3,,
216548609,8,1,2,0.16666666666666602,Democrat
2516369287,3,3,4,,
2180986699,4,0,6,0.25,Democrat
141446950,6,3,3,0.23322428209964802,Democrat
167509879,2,0,9,0.078947368421052,Democrat
245969770,5,3,3,0.25,Democrat
444349753,4,3,3,,
335047377,6,0,5,0.17440012830002202,Democrat
1140601999093829632,6,3,2,0.25,Democrat
378026124,6,4,0,0.16666666666666602,Democrat
1868296008,3,0,7,0.17857142857142802,Democrat
828644771681943552,3,4,4,,
290688430,5,1,6,0.32589285714285704,Democrat
739837889085902848,5,3,3,0.33333333333333304,Democrat
493641739,7,3,2,,
756502473376927744,5,3,3,0.09375000000000001,Democrat
848222623,4,3,4,0.125,Democrat
294829484,7,2,3,,
195292756,6,0,4,0.28571428571428503,Democrat
3238093166,3,1,7,0.375,Democrat
483184491,4,2,4,0.39583333333333304,Democrat
788428342680838145,4,1,6,,
1224543291695226880,5,4,1,0.0,Democrat
55298492,5,3,3,,
231129000,1,0,13,,
248075173,2,0,8,,
553150054,6,2,2,0.277777777777777,Democrat
22627214,5,1,4,0.16666666666666602,Democrat
4655725474,9,1,1,0.25,Democrat
1548265628,7,6,0,0.0,Democrat
1693105232,6,1,8,0.1875,Democrat
823948633447878656,0,11,2,0.75,Republican
2722159461,8,3,4,0.25,Democrat
756548669013393408,3,2,5,0.375,Democrat
72458670,1,8,1,0.770833333333333,Republican
30098358,6,5,4,,
4336219349,1,8,2,0.805555555555555,Republican
37733742,2,1,8,0.3125,Democrat
55784997,6,1,4,0.125,Democrat
3138046333,7,0,5,0.1875,Democrat
2935352086,7,2,2,,
124232329,6,2,2,,
825235772496154625,3,0,7,,
783474558124699648,4,4,2,0.1875,Democrat
380130847,5,4,1,0.14285714285714202,Democrat
19088152,7,3,1,0.21428571428571402,Democrat
129833154,3,5,3,0.08333333333333301,Democrat
27756527,5,1,5,,
3720171979,1,0,11,,
2807769655,5,2,5,0.17857142857142802,Democrat
2912992801,8,1,1,0.25,Democrat
2960463075,3,5,2,0.25,Democrat
15444711,0,10,1,0.8097826086956521,Republican
334112229,7,1,3,0.25,Democrat
897946928842977280,6,2,2,0.33333333333333304,Democrat
53679382,7,1,2,0.204545454545454,Democrat
77007129,9,2,2,,
2379621469,4,2,4,0.241337012738182,Democrat
44146501,5,3,4,,
987816354,6,1,3,0.16666666666666602,Democrat
534609625,2,3,5,0.10714285714285701,Democrat
250285891,3,1,8,0.375,Democrat
212247609,6,1,3,0.21428571428571402,Democrat
541681747,7,1,6,0.21875000000000003,Democrat
970398272467615744,2,4,4,,
4861743075,5,0,6,0.0625,Democrat
59963295,0,0,12,,
353513434,5,1,4,,
628524513,8,2,3,0.25,Democrat
411349665,4,1,9,,
16649350,2,0,8,,
397393302,0,3,7,,
16551206,7,1,2,0.2,Democrat
64598597,4,2,6,0.0,Democrat
30681172,4,2,7,0.388888888888888,Democrat
2233061046,5,1,4,,
575352444,5,4,4,0.18548387096774102,Democrat
16069383,3,4,3,0.416666666666666,Democrat
952603438432555009,7,1,3,,
528044985,3,2,6,,
13145242,6,3,1,0.3125,Democrat
120589645,4,3,3,0.207627012639181,Democrat
44170811,0,35,1,0.8557692307692301,Republican
3403645486,0,0,11,,
520344647,5,2,4,0.295454545454545,Democrat
909523741,4,2,4,0.216666666666666,Democrat
89003499,9,2,2,0.1875,Democrat
474925467,9,2,3,0.194444444444444,Democrat
603025587,2,5,6,,
25680726,8,2,2,0.305555555555555,Democrat
814046047546679296,0,14,1,,
360285166,6,1,4,0.09016393442622901,Democrat
15887287,3,1,7,0.25,Democrat
1963251169,7,1,2,,
411643866,0,7,3,0.625,Republican
392000744,4,4,2,0.392857142857142,Democrat
57790965,6,1,4,0.28125,Democrat
31074664,5,2,4,,
30234319,3,5,3,0.1875,Democrat
305699141,10,2,1,0.16666666666666602,Democrat
253840360,9,1,1,0.1875,Democrat
2895893195,5,3,3,0.05747126436781601,Democrat
16055468,4,2,4,0.21428571428571402,Democrat
71090136,4,2,4,,
117772496,5,1,4,0.25,Democrat
67919206,2,0,8,,
16174854,3,4,3,0.875,Republican
54731329,7,0,4,,
125131962,4,5,2,0.25,Democrat
35395312,3,4,3,0.194444444444444,Democrat
158124377,7,2,2,0.36363636363636304,Democrat
306460888,4,5,2,0.164285714285714,Democrat
1080602371,9,2,0,0.31481481481481405,Democrat
1653279235,5,1,6,0.125,Democrat
19939448,6,1,4,0.25,Democrat
58974661,4,1,5,0.22727272727272702,Democrat
2416603111,6,3,4,,
343517763,8,1,1,0.0,Democrat
7694282,5,5,2,0.276315789473684,Democrat
786283304202887168,6,2,3,0.25,Democrat
24574888,5,3,3,0.338235294117647,Democrat
362736436,7,1,3,0.5,Republican
498494108,10,3,1,0.0,Democrat
2908478991,5,1,4,0.35294117647058804,Democrat
18458105,0,4,6,0.75,Republican
18168810,5,2,4,0.2,Democrat
1671770444,7,1,3,0.08,Democrat
72070979,6,1,3,0.125,Democrat
930932307707379712,1,3,6,0.729729729729729,Republican
29383977,10,0,3,0.19846932652214502,Democrat
14703552,4,2,6,0.21428571428571402,Democrat
3648630734,4,5,1,0.0625,Democrat
518015821,3,2,5,0.3125,Democrat
792010008,4,1,5,0.17857142857142802,Democrat
1286282484,3,4,3,0.08823529411764701,Democrat
236978140,6,5,3,0.0625,Democrat
2839109183,5,2,4,,
25617737,3,3,5,0.275,Democrat
290894597,1,6,3,0.892857142857142,Republican
567770489,6,2,4,0.25,Democrat
149527508,0,4,6,0.807692307692307,Republican
3179766628,3,1,6,,
466144416,0,3,7,0.714094113124865,Republican
17058406,4,1,6,,
264007475,0,10,1,0.735,Republican
633525067,4,3,4,0.159090909090909,Democrat
327146357,7,0,3,0.33333333333333304,Democrat
141601015,2,8,2,0.763157894736842,Republican
495616310,6,2,3,,
4874334687,1,7,3,0.75,Republican
24523648,2,1,7,0.4,Democrat
16813992,6,4,2,0.23076923076923,Democrat
2751254391,4,3,5,0.5,Republican
801249402,8,0,3,0.403846153846153,Democrat
21130921,4,3,3,,
16411802,5,3,3,0.232142857142857,Democrat
702467189,5,1,4,,
3584730737,2,0,8,0.33333333333333304,Democrat
893866556,3,6,3,,
240117156,1,6,4,0.22222222222222202,Democrat
56763156,5,1,6,0.18181818181818102,Democrat
441398474,3,6,2,0.125,Democrat
2205026383,1,6,3,0.9353448275862061,Republican
181493561,5,1,5,0.35000000000000003,Democrat
378229145,4,0,6,,
13169552,3,1,6,0.25,Democrat
26490797,7,1,2,0.219230769230769,Democrat
29227739,6,3,2,0.25,Democrat
846851895742402561,3,3,4,,
15984412,8,5,2,0.29375,Democrat
2207451133,1,1,12,0.125,Democrat
222962448,6,2,2,0.25,Democrat
428012581,4,3,3,,
103800836,1,0,9,,
30745312,6,0,4,,
174893636,6,3,2,0.08333333333333301,Democrat
177615457,7,1,2,0.208333333333333,Democrat
162518255,4,3,4,0.375,Democrat
3394688199,3,2,5,0.20598167004494203,Democrat
605661519,2,4,4,0.251401422677131,Democrat
895846316,5,4,1,0.36764705882352905,Democrat
